AS,Attractor,Basin size,De,Interactions,C. + largo
1346,00001011000101000100110100,25600,2904372,383,6
1347,00101011000101000100110101,25600,11292981,383,6
1348,00000000100101000100110100,25600,151860,383,4
1349,10000000100101000100110100,25600,33706292,383,4
1350,00100000100101000100110101,25600,8540469,383,4
1351,10100000100101000100110101,25600,42094901,383,4
1352,00001000100101000100110100,25600,2249012,383,6
1353,10001000100101000100110100,25600,35803444,383,6
1354,00101000100101000100110101,25600,10637621,383,6
1355,10101000100101000100110101,25600,44192053,383,6
1356,00000010100101000100110100,25600,676148,383,4
1357,00100010100101000100110101,25600,9064757,383,4
1358,00001010100101000100110100,25600,2773300,383,6
1359,00101010100101000100110101,25600,11161909,383,6
1360,00000000000001000100110110,10464,4406,95,4
1361,00100000000001000100110111,10464,8393015,95,4
1362,00001000000001000100110110,11760,2101558,95,6
1363,00101000000001000100110111,11760,10490167,95,6
1364,00000010000001000100110110,10464,528694,95,4
1365,00100010000001000100110111,10464,8917303,95,4
1366,00001010000001000100110110,11760,2625846,95,6
1367,00101010000001000100110111,11760,11014455,95,6
1368,00000001000001000100110110,10464,266550,95,4
1369,00100001000001000100110111,10464,8655159,95,4
1370,00001001000001000100110110,11760,2363702,95,6
1371,00101001000001000100110111,11760,10752311,95,6
1372,00000011000001000100110110,10464,790838,95,4
1373,00100011000001000100110111,10464,9179447,95,4
1374,00001011000001000100110110,11760,2887990,95,6
1375,00101011000001000100110111,11760,11276599,95,6
1376,00000000100001000100110110,10464,135478,95,4
1377,00100000100001000100110111,10464,8524087,95,4
1378,00001000100001000100110110,11760,2232630,95,6
1379,00101000100001000100110111,11760,10621239,95,6
1380,00000010100001000100110110,10464,659766,95,4
1381,00100010100001000100110111,10464,9048375,95,4
1382,00001010100001000100110110,11760,2756918,95,6
1383,00101010100001000100110111,11760,11145527,95,6
